time,EMA
2019-07-18,2213.09
2019-07-19,2221.1838
2019-07-22,2206.9072
2019-07-23,2186.5053
2019-07-24,2177.7678
2019-07-25,2173.0064
2019-07-26,2164.2646
2019-07-29,2153.8162
2019-07-30,2141.4102
2019-07-31,2130.0751
2019-08-01,2114.7166
2019-08-02,2108.6624
2019-08-05,2108.8758
2019-08-06,2115.5534
2019-08-07,2118.8254
2019-08-08,2122.1974
2019-08-09,2130.426
2019-08-13,2117.1951
2019-08-14,2109.6124
2019-08-16,2099.9698
2019-08-19,2094.8063
2019-08-20,2086.4393
2019-08-21,2075.2375
2019-08-22,2056.8968
2019-08-23,2046.5944
2019-08-26,2057.2288
2019-08-27,2070.945
2019-08-28,2084.1271
2019-08-29,2084.4275
2019-08-30,2091.4346
2019-09-03,2083.458
2019-09-04,2078.7578
2019-09-05,2064.9172
2019-09-06,2053.2812
2019-09-09,2047.7785
2019-09-11,2044.568
2019-09-12,2043.9188
2019-09-13,2043.8865
2019-09-16,2036.8493
2019-09-17,2022.219
2019-09-18,2008.868
2019-09-19,1995.4412
2019-09-20,1998.2456
2019-09-23,2019.6394
2019-09-24,2031.9499
2019-09-25,2031.2343
2019-09-26,2029.6777
2019-09-27,2023.3621
2019-09-30,2007.6386
2019-10-01,1998.257
2019-10-03,1986.7951
2019-10-04,1977.7735
2019-10-07,1968.9135
2019-10-09,1967.526
2019-10-10,1963.941
2019-10-11,1964.9809
2019-10-14,1966.09
2019-10-15,1967.3004
2019-10-16,1974.8561
2019-10-17,1987.835
2019-10-18,1999.728
2019-10-22,2013.1288
2019-10-23,2029.1797
2019-10-24,2042.5795
2019-10-25,2045.8641
2019-10-29,2050.4133
2019-10-30,2052.9684
2019-10-31,2059.9228
2019-11-01,2064.624
2019-11-04,2077.8775
2019-11-05,2088.7302
2019-11-06,2104.5403
2019-11-07,2122.9277
2019-11-08,2134.3284
2019-11-11,2144.458
2019-11-13,2147.8909
2019-11-14,2153.7997
2019-11-15,2158.4738
2019-11-18,2164.1332
2019-11-19,2164.9598
2019-11-20,2163.2219
2019-11-21,2163.849
2019-11-22,2168.8606
2019-11-25,2183.2056
