time,SMA
2019-07-09,2179.9726
2019-07-10,2185.7547
2019-07-11,2192.271
2019-07-12,2198.554
2019-07-15,2200.5089
2019-07-16,2200.1831
2019-07-17,2200.9271
2019-07-18,2207.0398
2019-07-19,2211.1812
2019-07-22,2205.5401
2019-07-23,2197.8596
2019-07-24,2195.0698
2019-07-25,2190.2815
2019-07-26,2183.2947
2019-07-29,2173.4884
2019-07-30,2160.554
2019-07-31,2146.0974
2019-08-01,2122.6973
2019-08-02,2105.0786
2019-08-05,2101.7959
2019-08-06,2106.8865
2019-08-07,2106.3965
2019-08-08,2104.9757
2019-08-09,2109.2285
2019-08-13,2104.3142
2019-08-14,2103.3049
2019-08-16,2101.056
2019-08-19,2103.6528
2019-08-20,2100.3897
2019-08-21,2091.889
2019-08-22,2074.7652
2019-08-23,2061.4335
2019-08-26,2058.2047
2019-08-27,2054.7261
2019-08-28,2063.3052
2019-08-29,2064.3341
2019-08-30,2070.9729
2019-09-03,2068.5721
2019-09-04,2069.4541
2019-09-05,2067.2346
2019-09-06,2069.8901
2019-09-09,2072.1684
2019-09-11,2064.6721
2019-09-12,2055.5051
2019-09-13,2045.5345
2019-09-16,2037.4748
2019-09-17,2020.8164
2019-09-18,2010.939
2019-09-19,1998.6803
2019-09-20,1999.5034
2019-09-23,2011.0026
2019-09-24,2017.4357
2019-09-25,2017.2251
2019-09-26,2015.3926
2019-09-27,2010.5127
2019-09-30,2003.6828
2019-10-01,2003.6485
2019-10-03,2002.2913
2019-10-04,2002.5069
2019-10-07,1994.3246
2019-10-09,1978.8617
2019-10-10,1964.9079
2019-10-11,1959.0725
2019-10-14,1953.9133
2019-10-15,1951.6938
2019-10-16,1958.8912
2019-10-17,1967.9113
2019-10-18,1979.7142
2019-10-22,1993.3398
2019-10-23,2010.5764
2019-10-24,2024.736
2019-10-25,2036.0197
2019-10-29,2046.1421
2019-10-30,2055.4806
2019-10-31,2067.3277
2019-11-01,2075.0199
2019-11-04,2084.1478
2019-11-05,2092.5798
2019-11-06,2102.8052
2019-11-07,2113.2314
2019-11-08,2121.5067
2019-11-11,2134.4463
2019-11-13,2143.6917
2019-11-14,2155.284
2019-11-15,2164.113
2019-11-18,2174.4951
2019-11-19,2177.6112
2019-11-20,2179.3946
2019-11-21,2178.4931
2019-11-22,2177.0674
2019-11-25,2183.28
2019-11-26,2190.0315
2019-11-27,2202.6331
2019-11-28,2210.9378
2019-11-29,2217.9687
2019-12-02,2225.0191
2019-12-03,2235.5286
2019-12-04,2247.5177
2019-12-05,2258.7229
2019-12-06,2261.4324
2019-12-09,2263.0737
2019-12-10,2262.1771
2019-12-11,2260.2663
2019-12-12,2261.1041
2019-12-13,2266.6847
2019-12-16,2273.1472
2019-12-17,2283.9653
2019-12-18,2296.2043
2019-12-19,2304.7099
2019-12-20,2318.5021
2019-12-23,2329.4526
2019-12-24,2340.8685
2019-12-26,2350.4226
2019-12-27,2362.7792
2019-12-30,2371.0692
2019-12-31,2375.0917
2020-01-01,2375.3808
2020-01-02,2377.2769
2020-01-03,2381.4415
2020-01-06,2379.4523
2020-01-07,2378.541
