time,EMA
2019-09-13,2114.8558
2019-09-16,2108.6637
2019-09-17,2098.7036
2019-09-18,2093.5294
2019-09-19,2082.9411
2019-09-20,2067.8439
2019-09-23,2046.5402
2019-09-24,2034.3117
2019-09-25,2031.9642
2019-09-26,2030.017
2019-09-27,2022.9756
2019-09-30,2024.696
2019-10-01,2019.1502
2019-10-03,2014.463
2019-10-04,2014.1136
2019-10-07,2009.286
2019-10-09,1999.6678
2019-10-10,1988.9377
2019-10-11,1977.1044
2019-10-14,1973.3902
2019-10-15,1973.2471
2019-10-16,1974.6175
2019-10-17,1973.9476
2019-10-18,1978.1024
2019-10-22,1980.4958
2019-10-23,1986.6188
2019-10-24,1992.8549
2019-10-25,2005.5188
2019-10-29,2028.4004
2019-10-30,2057.2951
2019-10-31,2083.8568
2019-11-01,2093.5628
2019-11-04,2100.0483
2019-11-05,2106.731
2019-11-06,2109.8693
2019-11-07,2111.9253
2019-11-08,2103.8047
2019-11-11,2091.8224
2019-11-13,2095.9332
2019-11-14,2102.3053
2019-11-15,2103.8483
2019-11-18,2101.0433
2019-11-19,2091.0807
2019-11-20,2082.8766
2019-11-21,2077.7611
2019-11-22,2065.3701
2019-11-25,2056.9348
2019-11-26,2044.1569
2019-11-27,2034.8581
2019-11-28,2031.4676
2019-11-29,2024.3436
2019-12-02,2012.912
2019-12-03,2008.7559
2019-12-04,2010.4024
2019-12-05,2019.2493
2019-12-06,2026.7436
2019-12-09,2021.8903
2019-12-10,2009.4136
2019-12-11,2004.2701
2019-12-12,1995.7471
2019-12-13,1998.4706
2019-12-16,2010.5546
2019-12-17,2027.1649
2019-12-18,2041.0375
2019-12-19,2063.2229
2019-12-20,2080.2981
2019-12-23,2096.0158
2019-12-24,2105.8052
2019-12-26,2111.3441
2019-12-27,2115.3642
2019-12-30,2115.9623
2019-12-31,2112.6399
2020-01-01,2111.4216
2020-01-02,2108.2454
2020-01-03,2113.226
2020-01-06,2117.2569
2020-01-07,2121.4372
