time,EMA
2020-06-09,5514.4518
2020-06-10,5483.6041
2020-06-11,5481.2126
2020-06-12,5465.2985
2020-06-15,5456.0381
2020-06-16,5489.1965
2020-06-17,5514.7952
2020-06-18,5568.3994
2020-06-19,5611.9798
2020-06-22,5645.5236
2020-06-23,5649.002
2020-06-24,5653.3788
2020-06-25,5656.0825
2020-06-26,5645.0803
2020-06-29,5664.2261
2020-06-30,5672.7017
2020-07-01,5706.4051
2020-07-02,5731.2411
2020-07-03,5785.9401
2020-07-06,5848.7069
2020-07-07,5867.4286
2020-07-08,5875.6289
2020-07-09,5874.1375
2020-07-10,5879.1305
2020-07-13,5843.6265
2020-07-14,5819.5555
2020-07-15,5813.4961
2020-07-16,5816.1572
2020-07-17,5809.2475
2020-07-20,5851.1512
2020-07-21,5862.7855
2020-07-22,5882.5734
2020-07-23,5887.4561
2020-07-24,5898.8281
2020-07-27,5952.0906
2020-07-28,5977.4591
2020-07-29,6012.5486
2020-07-30,6040.327
2020-07-31,6046.0893
2020-08-03,6085.7198
2020-08-04,6147.8948
2020-08-05,6204.4861
2020-08-06,6272.4091
2020-08-07,6315.0009
2020-08-10,6357.1631
2020-08-11,6406.539
2020-08-12,6457.66
2020-08-13,6473.6601
2020-08-14,6519.7768
2020-08-17,6579.6041
2020-08-18,6646.792
2020-08-19,6699.4966
2020-08-20,6741.6248
2020-08-21,6795.3072
2020-08-24,6844.5046
2020-08-25,6865.9858
2020-08-26,6901.1402
2020-08-27,6928.9182
2020-08-28,6904.4918
2020-08-31,6897.3791
2020-09-01,6893.7636
2020-09-02,6917.9507
2020-09-03,6959.4019
2020-09-04,6996.677
2020-09-07,7029.9841
2020-09-08,7055.1668
2020-09-09,7078.7789
2020-09-10,7090.7447
2020-09-11,7088.5026
2020-09-14,7073.5608
2020-09-15,7061.941
2020-09-16,7058.0706
2020-09-17,7032.8175
2020-09-18,6950.5577
2020-09-21,6849.3433
2020-09-22,6778.9703
2020-09-23,6683.8771
2020-09-24,6642.261
2020-09-25,6646.3049
2020-09-28,6655.3226
2020-09-29,6663.4686
2020-09-30,6679.3835
2020-10-01,6696.5241
2020-10-05,6723.8361
2020-10-06,6774.6102
2020-10-07,6822.4217
2020-10-08,6857.7824
2020-10-09,6900.4264
2020-10-12,6916.2205
2020-10-13,6924.5631
2020-10-14,6909.4741
2020-10-15,6899.2694
2020-10-16,6882.7088
2020-10-19,6868.6896
2020-10-20,6860.0918
2020-10-21,6842.4612
2020-10-22,6882.6335
2020-10-23,6905.7458
2020-10-26,6943.4722
2020-10-27,6978.6481
2020-10-28,6995.0619
2020-10-29,6979.9822
2020-10-30,6950.8694
2020-11-02,6936.4083
2020-11-03,6931.2702
2020-11-04,6952.5674
2020-11-05,6936.0722
2020-11-06,6916.1084
2020-11-09,6885.5378
2020-11-10,6872.1785
2020-11-11,6857.96
2020-11-12,6841.2048
2020-11-13,6858.67
2020-11-17,6886.2928
2020-11-18,6891.9198
2020-11-19,6897.5624
2020-11-20,6905.7112
2020-11-23,6943.3265
2020-11-24,6955.4488
2020-11-25,6954.2652
2020-11-26,6959.34
2020-11-27,6976.5724
2020-12-01,7009.506
2020-12-02,7133.4333
2020-12-03,7245.9936
2020-12-04,7326.9231
2020-12-07,7397.131
2020-12-08,7444.7274
2020-12-09,7488.4667
2020-12-10,7523.8829
2020-12-11,7545.8771
2020-12-14,7577.2688
2020-12-15,7608.9239
2020-12-16,7614.1192
2020-12-17,7595.5337
2020-12-18,7544.953
2020-12-21,7509.079
2020-12-22,7489.5558
2020-12-23,7473.2481
2020-12-24,7465.9126
2020-12-28,7455.1502
2020-12-29,7474.7454
2020-12-30,7497.7425
2020-12-31,7524.1282
2021-01-01,7547.1437
2021-01-04,7557.2665
2021-01-05,7562.3059
2021-01-06,7554.3966
2021-01-07,7629.0806
2021-01-08,7729.9503
2021-01-11,7803.0403
2021-01-12,7854.4582
2021-01-13,7898.3974
2021-01-14,7911.4843
2021-01-15,7884.83
2021-01-18,7882.9314
2021-01-19,7920.7541
2021-01-20,7939.1347
2021-01-21,7949.1327
2021-01-22,7946.0845
2021-01-25,7922.4707
2021-01-27,7852.5999
2021-01-28,7727.0869
2021-01-29,7659.0823
2021-02-01,7649.6295
2021-02-02,7629.6011
2021-02-03,7622.672
2021-02-04,7590.734
2021-02-05,7579.0019
2021-02-08,7578.9241
2021-02-09,7578.3003
2021-02-10,7585.6851
2021-02-11,7573.7328
2021-02-12,7569.0756
2021-02-15,7582.5368
2021-02-16,7559.4407
2021-02-17,7539.2522
2021-02-18,7492.5721
2021-02-19,7410.6942
2021-02-22,7322.4388
2021-02-23,7245.1261
2021-02-24,7179.3228
2021-02-25,7115.6464
2021-02-26,7089.6268
2021-03-01,7104.155
2021-03-02,7099.6102
2021-03-03,7097.5448
2021-03-04,7116.5141
2021-03-05,7134.2385
2021-03-08,7156.2199
2021-03-09,7169.3538
2021-03-10,7148.5374
2021-03-12,7129.1932
2021-03-15,7125.6605
2021-03-16,7106.1578
2021-03-17,7099.415
2021-03-18,7093.5008
2021-03-19,7087.081
2021-03-22,7096.6521
2021-03-23,7083.1735
2021-03-24,7021.3512
2021-03-25,6970.6068
2021-03-26,6941.2564
2021-03-30,6918.5343
2021-03-31,6911.2983
2021-04-01,6877.5102
2021-04-05,6846.9025
2021-04-06,6842.266
2021-04-07,6831.544
2021-04-08,6823.4038
2021-04-09,6760.4842
2021-04-12,6763.1682
2021-04-13,6735.2924
2021-04-15,6712.0603
2021-04-16,6669.1591
2021-04-19,6657.075
2021-04-20,6648.1998
2021-04-22,6645.3645
2021-04-23,6636.8479
2021-04-26,6614.9929
2021-04-27,6599.4421
2021-04-28,6586.1406
2021-04-29,6555.7276
2021-04-30,6555.8664
2021-05-03,6539.684
2021-05-04,6541.5836
2021-05-05,6556.5071
2021-05-06,6575.4019
2021-05-07,6600.6985
2021-05-10,6618.0716
2021-05-11,6647.0011
2021-05-12,6655.8109
2021-05-14,6660.3722
2021-05-17,6679.8673
2021-05-18,6689.4674
2021-05-19,6690.4476
2021-05-20,6704.6371
2021-05-21,6729.661
2021-05-24,6754.4441
2021-05-25,6796.1662
2021-05-26,6818.6856
2021-05-27,6835.6292
2021-05-28,6873.2316
2021-05-31,6904.6657
2021-06-01,6947.0148
2021-06-02,6986.0633
2021-06-03,7019.1864
2021-06-04,7058.0936
2021-06-07,7100.1164
2021-06-08,7117.2089
2021-06-09,7123.8135
2021-06-10,7133.1106
2021-06-11,7132.7861
2021-06-14,7131.012
2021-06-15,7119.4793
2021-06-16,7084.0456
2021-06-17,7053.2387
2021-06-18,7017.699
2021-06-21,7054.0673
2021-06-22,7114.3919
2021-06-23,7181.2098
2021-06-24,7256.493
2021-06-25,7309.0821
2021-06-28,7332.3808
2021-06-29,7356.7099
2021-06-30,7389.6414
2021-07-01,7413.6767
2021-07-02,7438.3645
2021-07-05,7443.0715
2021-07-06,7435.9923
2021-07-07,7421.0857
2021-07-08,7413.2705
2021-07-09,7415.1869
2021-07-12,7408.7152
2021-07-13,7385.6426
2021-07-14,7362.9349
2021-07-15,7343.7417
2021-07-16,7303.1604
2021-07-19,7282.1163
2021-07-20,7276.1991
2021-07-22,7270.346
2021-07-23,7255.6928
2021-07-26,7244.7607
2021-07-27,7219.3304
2021-07-28,7169.9244
2021-07-29,7127.1165
2021-07-30,7109.5442
2021-08-02,7117.0274
2021-08-03,7106.1043
2021-08-04,7091.6308
2021-08-05,7093.5525
2021-08-06,7091.3793
2021-08-09,7075.0194
2021-08-10,7065.7159
2021-08-11,7055.5858
2021-08-12,7045.3156
2021-08-13,7005.9491
2021-08-16,6984.5402
2021-08-17,6958.5057
2021-08-18,6938.3319
2021-08-20,6918.0443
2021-08-23,6898.1089
2021-08-24,6864.9618
2021-08-25,6818.4323
2021-08-26,6779.7719
2021-08-27,6782.9225
2021-08-30,6794.0729
2021-08-31,6792.487
2021-09-01,6792.2166
2021-09-02,6805.1408
2021-09-03,6812.8697
2021-09-06,6824.4389
2021-09-07,6817.2318
2021-09-08,6814.4351
2021-09-09,6825.0742
2021-09-13,6838.5062
2021-09-14,6851.1324
2021-09-15,6866.2356
2021-09-16,6892.8292
2021-09-17,6903.9966
2021-09-20,6881.0609
2021-09-21,6871.5134
2021-09-22,6866.5474
2021-09-23,6881.8297
2021-09-24,6976.8061
2021-09-27,7057.2595
2021-09-28,7116.1941
2021-09-29,7155.9406
2021-09-30,7156.5696
2021-10-01,7160.5387
2021-10-04,7176.5499
2021-10-05,7180.9409
2021-10-06,7237.3698
2021-10-07,7271.6207
2021-10-08,7349.126
2021-10-11,7411.6395
2021-10-12,7424.8596
2021-10-13,7436.8124
2021-10-14,7475.9647
2021-10-18,7508.1893
2021-10-19,7523.5185
2021-10-20,7532.2242
2021-10-21,7510.1835
2021-10-22,7465.2865
2021-10-25,7434.5344
2021-10-26,7419.619
2021-10-27,7411.2156
2021-10-28,7424.34
2021-10-29,7458.5873
