time,EMA
2019-07-04,1721.4878
2019-07-05,1722.6698
2019-07-08,1716.9548
2019-07-09,1709.8411
2019-07-10,1700.2413
2019-07-11,1694.4652
2019-07-12,1686.863
2019-07-15,1681.2043
2019-07-16,1681.0116
2019-07-17,1684.1862
2019-07-18,1683.0918
2019-07-19,1679.5744
2019-07-22,1668.6202
2019-07-23,1662.192
2019-07-24,1663.0358
2019-07-25,1665.1292
2019-07-26,1665.9037
2019-07-29,1663.4507
2019-07-30,1662.5662
2019-07-31,1662.9824
2019-08-01,1664.1823
2019-08-02,1666.3392
2019-08-05,1668.6651
2019-08-06,1671.2959
2019-08-07,1679.4377
2019-08-08,1690.3347
2019-08-09,1705.6781
2019-08-13,1715.6011
2019-08-14,1725.921
2019-08-16,1732.4003
2019-08-19,1736.7369
2019-08-20,1743.854
2019-08-21,1751.2293
2019-08-22,1761.1834
2019-08-23,1767.0652
2019-08-26,1774.5785
2019-08-27,1778.4107
2019-08-28,1775.6182
2019-08-29,1773.7719
2019-08-30,1781.0041
2019-09-03,1780.362
2019-09-04,1780.6347
2019-09-05,1777.7185
2019-09-06,1773.4559
2019-09-09,1772.5552
2019-09-11,1770.082
2019-09-12,1765.1032
2019-09-13,1760.7053
2019-09-16,1759.0098
2019-09-17,1760.306
2019-09-18,1761.0596
2019-09-19,1758.642
2019-09-20,1784.3393
2019-09-23,1816.887
2019-09-24,1846.0162
2019-09-25,1869.4896
2019-09-26,1886.2748
2019-09-27,1895.7815
2019-09-30,1898.7805
2019-10-01,1902.3917
2019-10-03,1900.5322
2019-10-04,1895.8713
2019-10-07,1891.3827
2019-10-09,1889.0344
2019-10-10,1890.6381
2019-10-11,1898.4833
2019-10-14,1906.6472
2019-10-15,1921.859
2019-10-16,1935.787
2019-10-17,1952.7599
2019-10-18,1967.1027
2019-10-22,1982.591
2019-10-23,1998.269
2019-10-24,2011.3697
2019-10-25,2023.4371
2019-10-29,2036.422
2019-10-30,2048.5798
2019-10-31,2059.8581
2019-11-01,2069.6059
2019-11-04,2073.9232
2019-11-05,2079.7827
2019-11-06,2085.943
2019-11-07,2083.5614
2019-11-08,2072.5248
2019-11-11,2062.1374
2019-11-13,2055.7982
2019-11-14,2046.883
2019-11-15,2037.4027
2019-11-18,2029.5492
2019-11-19,2019.6417
2019-11-20,2009.6405
2019-11-21,2005.5917
2019-11-22,1997.7924
2019-11-25,1997.8988
2019-11-26,1998.0211
2019-11-27,2003.6744
2019-11-28,2007.0393
2019-11-29,2001.0747
2019-12-02,1997.6226
2019-12-03,1992.092
2019-12-04,1990.9782
2019-12-05,1987.9603
2019-12-06,1983.5959
2019-12-09,1977.266
2019-12-10,1974.7579
2019-12-11,1969.9908
2019-12-12,1965.5352
2019-12-13,1961.687
2019-12-16,1953.0028
2019-12-17,1944.2316
2019-12-18,1930.8496
2019-12-19,1923.5499
2019-12-20,1917.0751
2019-12-23,1912.2975
2019-12-24,1907.754
2019-12-26,1903.7985
2019-12-27,1901.4173
2019-12-30,1897.1507
2019-12-31,1891.2711
2020-01-01,1888.8405
2020-01-02,1887.0986
2020-01-03,1884.0163
2020-01-06,1879.1673
2020-01-07,1876.0109
2020-01-08,1875.0415
