"Date","Open","High","Low","Close"
"14 May 2021","10059.20","10061.50","9777.50","9810.45"
"12 May 2021","9992.00","10066.80","9913.50","10013.65"
"11 May 2021","9874.90","10029.85","9852.20","9995.10"
"10 May 2021","9856.65","9984.80","9834.50","9973.05"
"07 May 2021","9858.35","9907.45","9767.00","9819.45"
"06 May 2021","9669.20","9826.55","9664.30","9815.10"
"05 May 2021","9631.05","9662.10","9547.75","9643.05"
"04 May 2021","9728.45","9758.70","9541.20","9577.70"
"03 May 2021","9539.55","9715.90","9485.50","9662.95"
"30 Apr 2021","9701.30","9780.35","9619.00","9640.85"
"29 Apr 2021","9959.20","9985.00","9754.00","9773.70"
"28 Apr 2021","9781.50","9968.40","9758.15","9871.50"
"27 Apr 2021","9662.30","9733.80","9653.90","9708.20"
"26 Apr 2021","9630.20","9713.10","9612.70","9641.45"
"23 Apr 2021","9569.25","9695.90","9534.90","9596.95"
"22 Apr 2021","9529.30","9665.95","9503.80","9644.55"
"20 Apr 2021","9683.95","9738.10","9539.70","9630.70"
"19 Apr 2021","9476.65","9562.95","9395.25","9532.15"
"16 Apr 2021","9691.30","9926.45","9679.50","9808.95"
"15 Apr 2021","9787.85","9817.00","9558.70","9691.45"
"13 Apr 2021","9438.20","9845.50","9406.40","9818.30"
"12 Apr 2021","9738.35","9738.35","9345.20","9415.65"
"09 Apr 2021","9961.55","10032.85","9885.60","9922.95"
"08 Apr 2021","9992.30","10083.30","9933.10","9959.35"
"07 Apr 2021","9790.00","9950.55","9761.15","9937.00"
"06 Apr 2021","9836.85","9881.20","9755.10","9781.35"
"05 Apr 2021","9988.10","9991.30","9688.40","9768.05"
"01 Apr 2021","9967.85","10044.60","9889.70","10022.60"
"31 Mar 2021","9866.00","9946.95","9812.25","9862.45"
"30 Mar 2021","9835.85","9885.95","9749.35","9865.00"
"26 Mar 2021","9766.40","9853.85","9749.40","9771.50"
"25 Mar 2021","9916.60","9924.35","9605.05","9651.35"
"26 Feb 2021","-","-","-","10169.90"
"25 Feb 2021","-","-","-","10497.95"
"24 Feb 2021","-","-","-","10405.50"
"23 Feb 2021","-","-","-","10379.55"
"22 Feb 2021","-","-","-","10300.00"
"19 Feb 2021","-","-","-","10540.35"
"18 Feb 2021","-","-","-","10827.00"
"17 Feb 2021","-","-","-","10975.45"
"16 Feb 2021","-","-","-","10944.90"
"15 Feb 2021","-","-","-","10956.05"
"12 Feb 2021","-","-","-","10912.25"
"11 Feb 2021","-","-","-","10965.25"
"10 Feb 2021","-","-","-","11010.85"
"09 Feb 2021","-","-","-","10907.60"
"08 Feb 2021","-","-","-","11061.00"
"05 Feb 2021","-","-","-","10723.95"
"04 Feb 2021","-","-","-","10867.10"
"03 Feb 2021","-","-","-","10749.15"
"02 Feb 2021","-","-","-","10638.60"
