Date,Price,Open,High,Low,Volume,Chg%
"May 27, 2021","10,486.00","10,467.25","10,561.30","10,441.35",108.96M,0.46%
"May 26, 2021","10,437.80","10,423.45","10,473.45","10,399.10",76.41M,0.52%
"May 25, 2021","10,384.30","10,398.65","10,424.25","10,363.55",143.65M,0.66%
"May 24, 2021","10,315.75","10,347.95","10,390.30","10,299.25",76.94M,0.03%
"May 21, 2021","10,312.40","10,276.10","10,332.00","10,215.10",84.96M,0.84%
"May 20, 2021","10,226.40","10,253.60","10,297.15","10,158.90",111.24M,-0.22%
"May 19, 2021","10,249.10","10,231.85","10,303.00","10,179.45",183.71M,-0.73%
"May 18, 2021","10,324.00","10,102.40","10,344.50","10,070.25",178.05M,3.22%
"May 17, 2021","10,001.70","9,844.15","10,037.80","9,785.90",111.29M,1.95%
"May 14, 2021","9,810.45","10,059.20","10,061.50","9,777.50",122.80M,-2.03%
"May 12, 2021","10,013.65","9,992.00","10,066.80","9,913.50",159.80M,0.19%
"May 11, 2021","9,995.10","9,874.90","10,029.85","9,852.20",102.89M,0.22%
"May 10, 2021","9,973.05","9,856.65","9,984.80","9,834.50",98.66M,1.56%
"May 07, 2021","9,819.45","9,858.35","9,907.45","9,767.00",80.12M,0.04%
"May 06, 2021","9,815.10","9,669.20","9,826.55","9,664.30",96.77M,1.78%
"May 05, 2021","9,643.05","9,631.05","9,662.10","9,547.75",66.46M,0.68%
"May 04, 2021","9,577.70","9,728.45","9,758.70","9,541.20",84.57M,-0.88%
"May 03, 2021","9,662.95","9,539.55","9,715.90","9,485.50",84.17M,0.23%
"Apr 30, 2021","9,640.85","9,701.30","9,780.35","9,619.00",87.89M,-1.36%
"Apr 29, 2021","9,773.70","9,959.20","9,985.00","9,754.00",95.40M,-0.99%
"Apr 28, 2021","9,871.50","9,781.50","9,968.40","9,758.15",144.65M,1.68%
"Apr 27, 2021","9,708.20","9,662.30","9,733.80","9,653.90",79.79M,0.69%
"Apr 26, 2021","9,641.45","9,630.20","9,713.10","9,612.70",69.63M,0.46%
"Apr 23, 2021","9,596.95","9,569.25","9,695.90","9,534.90",117.32M,-0.49%
"Apr 22, 2021","9,644.55","9,529.30","9,665.95","9,503.80",117.26M,0.14%
"Apr 20, 2021","9,630.70","9,683.95","9,738.10","9,539.70",115.38M,1.03%
"Apr 19, 2021","9,532.15","9,476.65","9,562.95","9,395.25",127.13M,-2.82%
"Apr 16, 2021","9,808.95","9,691.30","9,926.45","9,679.50",123.53M,1.21%
"Apr 15, 2021","9,691.45","9,787.85","9,817.00","9,558.70",124.80M,-1.29%
"Apr 13, 2021","9,818.30","9,438.20","9,845.50","9,406.40",182.41M,4.28%
"Apr 12, 2021","9,415.65","9,738.35","9,738.35","9,345.20",171.31M,-5.11%
"Apr 09, 2021","9,922.95","9,961.55","10,032.85","9,885.60",124.22M,-0.37%
"Apr 08, 2021","9,959.35","9,992.30","10,083.30","9,933.10",144.00M,0.22%
"Apr 07, 2021","9,937.00","9,790.00","9,950.55","9,761.15",83.65M,1.59%
"Apr 06, 2021","9,781.35","9,836.85","9,881.20","9,755.10",98.28M,0.14%
"Apr 05, 2021","9,768.05","9,988.10","9,991.30","9,688.40",115.41M,-2.54%
"Apr 01, 2021","10,022.60","9,967.85","10,044.60","9,889.70",93.98M,1.62%
"Mar 31, 2021","9,862.45","9,866.00","9,946.95","9,812.25",98.70M,-0.03%
"Mar 30, 2021","9,865.00","9,835.85","9,885.95","9,749.35",94.64M,0.96%
"Mar 26, 2021","9,771.50","9,766.40","9,853.85","9,749.40",132.88M,1.24%
"Mar 25, 2021","9,651.35","9,916.60","9,924.35","9,605.05",167.02M,-2.76%
"Mar 24, 2021","9,925.25","10,116.70","10,164.35","9,897.85",109.64M,-2.58%
"Mar 23, 2021","10,187.65","10,183.65","10,265.00","10,167.20",104.76M,0.47%
"Mar 22, 2021","10,140.45","10,176.30","10,226.80","10,069.45",97.76M,-0.45%
"Mar 19, 2021","10,186.50","10,067.15","10,207.15","9,841.65",193.17M,0.42%
"Mar 18, 2021","10,143.95","10,251.95","10,345.20","10,039.55",149.40M,-0.15%
"Mar 17, 2021","10,159.10","10,369.75","10,378.80","10,133.90",101.84M,-1.85%
"Mar 16, 2021","10,350.80","10,378.30","10,401.25","10,301.70",76.20M,0.15%
"Mar 15, 2021","10,335.10","10,446.75","10,450.20","10,178.25",92.99M,-0.47%
"Mar 12, 2021","10,383.90","10,603.15","10,624.35","10,313.35",93.17M,-1.66%
"Mar 10, 2021","10,559.30","10,525.75","10,613.60","10,511.15",105.32M,0.91%
"Mar 09, 2021","10,464.25","10,572.65","10,621.45","10,381.60",128.78M,-0.41%
"Mar 08, 2021","10,507.35","10,597.80","10,632.10","10,488.40",129.96M,-0.16%
"Mar 05, 2021","10,524.40","10,558.15","10,663.75","10,488.85",143.55M,-0.95%
"Mar 04, 2021","10,625.75","10,559.40","10,710.10","10,514.30",110.35M,-0.44%
