Date,Price,Open,High,Low,Volume,Chg%
"Jun 30, 2020","10,302.10","10,382.60","10,401.05","10,267.35",556.24M,-0.10%
"Jun 29, 2020","10,312.40","10,311.95","10,337.95","10,223.60",574.54M,-0.68%
"Jun 26, 2020","10,383.00","10,378.90","10,409.85","10,311.25",671.91M,0.91%
"Jun 25, 2020","10,288.90","10,235.55","10,361.80","10,194.50",994.19M,-0.16%
"Jun 24, 2020","10,305.30","10,529.25","10,553.15","10,281.95",854.80M,-1.58%
"Jun 23, 2020","10,471.00","10,347.95","10,484.70","10,301.75",669.20M,1.55%
"Jun 22, 2020","10,311.20","10,318.75","10,393.65","10,277.60",685.39M,0.65%
"Jun 19, 2020","10,244.40","10,119.00","10,272.40","10,072.65",892.10M,1.51%
"Jun 18, 2020","10,091.65","9,863.25","10,111.20","9,845.05",622.90M,2.13%
"Jun 17, 2020","9,881.15","9,876.70","10,003.60","9,833.80",685.42M,-0.33%
"Jun 16, 2020","9,914.00","10,014.80","10,046.15","9,728.50",899.90M,1.02%
"Jun 15, 2020","9,813.70","9,919.35","9,943.35","9,726.35",716.05M,-1.60%
"Jun 12, 2020","9,972.90","9,544.95","9,996.05","9,544.35",796.31M,0.72%
"Jun 11, 2020","9,902.00","10,094.10","10,112.05","9,885.05",715.45M,-2.12%
"Jun 10, 2020","10,116.15","10,072.60","10,148.75","10,036.85",632.38M,0.69%
"Jun 09, 2020","10,046.65","10,181.15","10,291.15","10,021.45",754.22M,-1.19%
"Jun 08, 2020","10,167.45","10,326.75","10,328.50","10,120.25",936.49M,0.25%
"Jun 05, 2020","10,142.15","10,093.80","10,177.80","10,040.75",987.12M,1.13%
"Jun 04, 2020","10,029.10","10,054.25","10,123.85","9,944.25",775.11M,-0.32%
"Jun 03, 2020","10,061.55","10,108.30","10,176.20","10,035.55",794.66M,0.83%
"Jun 02, 2020","9,979.10","9,880.85","9,995.60","9,824.05",770.19M,1.56%
"Jun 01, 2020","9,826.15","9,726.85","9,931.60","9,706.95",794.18M,2.57%
"May 29, 2020","9,580.30","9,422.20","9,598.85","9,376.90",967.01M,0.95%
"May 28, 2020","9,490.10","9,364.95","9,511.25","9,336.50",837.91M,1.88%
"May 27, 2020","9,314.95","9,082.20","9,334.00","9,004.25",763.49M,3.17%
"May 26, 2020","9,029.05","9,099.75","9,161.65","8,996.65",654.96M,-0.11%
"May 22, 2020","9,039.25","9,067.90","9,149.60","8,968.55",675.76M,-0.74%
"May 21, 2020","9,106.25","9,079.45","9,178.55","9,056.10",631.54M,0.44%
"May 20, 2020","9,066.55","8,889.15","9,093.80","8,875.35",622.31M,2.11%
"May 19, 2020","8,879.10","8,961.70","9,030.35","8,855.30",762.15M,0.63%
"May 18, 2020","8,823.25","9,158.30","9,158.30","8,806.75",772.98M,-3.43%
"May 15, 2020","9,136.85","9,182.40","9,182.40","9,050.00",575.86M,-0.06%
"May 14, 2020","9,142.75","9,213.95","9,281.10","9,119.75",602.56M,-2.57%
"May 13, 2020","9,383.55","9,584.20","9,584.50","9,351.10",846.40M,2.03%
"May 12, 2020","9,196.55","9,168.85","9,240.85","9,043.95",805.46M,-0.46%
"May 11, 2020","9,239.20","9,348.15","9,439.90","9,219.95",704.65M,-0.13%
"May 08, 2020","9,251.50","9,376.95","9,382.65","9,238.20",609.05M,0.57%
"May 07, 2020","9,199.05","9,234.05","9,277.85","9,175.90",708.74M,-0.78%
"May 06, 2020","9,270.90","9,226.80","9,346.90","9,116.50",722.19M,0.71%
"May 05, 2020","9,205.60","9,429.40","9,450.90","9,190.75",725.20M,-0.95%
"May 04, 2020","9,293.50","9,533.50","9,533.50","9,266.95",687.49M,-5.74%
"Apr 30, 2020","9,859.90","9,753.50","9,889.05","9,731.50",931.17M,3.21%
"Apr 29, 2020","9,553.35","9,408.60","9,599.85","9,392.35",653.03M,1.84%
"Apr 28, 2020","9,380.90","9,389.80","9,404.40","9,260.00",614.55M,1.06%
"Apr 27, 2020","9,282.30","9,259.70","9,377.10","9,250.35",512.79M,1.40%
"Apr 24, 2020","9,154.40","9,163.90","9,296.90","9,141.30",659.44M,-1.71%
"Apr 23, 2020","9,313.90","9,232.35","9,343.60","9,170.15",666.65M,1.38%
"Apr 22, 2020","9,187.30","9,026.75","9,209.75","8,946.25",734.38M,2.29%
"Apr 21, 2020","8,981.45","9,016.95","9,044.40","8,909.40",655.12M,-3.03%
"Apr 20, 2020","9,261.85","9,390.20","9,390.85","9,230.80",726.37M,-0.05%
"Apr 17, 2020","9,266.75","9,323.45","9,324.00","9,091.35",684.21M,3.05%
"Apr 16, 2020","8,992.80","8,851.25","9,053.75","8,821.90",719.44M,0.76%
"Apr 15, 2020","8,925.30","9,196.40","9,261.20","8,874.10",879.15M,-0.76%
"Apr 13, 2020","8,993.85","9,103.95","9,112.05","8,912.40",643.97M,-1.30%
"Apr 09, 2020","9,111.90","8,973.05","9,128.35","8,904.55",742.14M,4.15%
"Apr 08, 2020","8,748.75","8,688.90","9,131.70","8,653.90",896.53M,-0.49%
"Apr 07, 2020","8,792.20","8,446.30","8,819.40","8,360.95",814.18M,8.76%
"Apr 03, 2020","8,083.80","8,356.55","8,356.55","8,055.80",697.03M,-2.06%
"Apr 01, 2020","8,253.80","8,584.10","8,588.10","8,198.35",506.34M,-4.00%
"Mar 31, 2020","8,597.75","8,529.35","8,678.30","8,358.00",712.66M,3.82%
"Mar 30, 2020","8,281.10","8,385.95","8,576.00","8,244.00",593.25M,-4.38%
"Mar 27, 2020","8,660.25","8,949.10","9,038.90","8,522.90",801.45M,0.22%
"Mar 26, 2020","8,641.45","8,451.00","8,749.05","8,304.90",865.59M,3.89%
"Mar 25, 2020","8,317.85","7,735.15","8,376.75","7,714.75",736.87M,6.62%
"Mar 24, 2020","7,801.05","7,848.30","8,036.95","7,511.10",738.43M,2.51%
"Mar 23, 2020","7,610.25","7,945.70","8,159.25","7,583.60",653.54M,-12.98%
"Mar 20, 2020","8,745.45","8,284.45","8,883.00","8,178.20",1.07B,5.83%
"Mar 19, 2020","8,263.45","8,063.30","8,575.45","7,832.55",925.72M,-2.42%
"Mar 18, 2020","8,468.80","9,088.45","9,127.55","8,407.05",1.52B,-5.56%
"Mar 17, 2020","8,967.05","9,285.40","9,403.80","8,915.60",935.62M,-2.50%
"Mar 16, 2020","9,197.40","9,587.80","9,602.20","9,165.10",897.73M,-7.61%
"Mar 13, 2020","9,955.20","9,107.60","10,159.40","8,555.15",1.39B,3.81%
"Mar 12, 2020","9,590.15","10,039.95","10,040.75","9,508.00",1.34B,-8.30%
"Mar 11, 2020","10,458.40","10,334.30","10,545.10","10,334.00",1.22B,0.07%
"Mar 09, 2020","10,451.45","10,742.05","10,751.55","10,294.45",1.57B,-4.90%
"Mar 06, 2020","10,989.45","10,942.65","11,035.10","10,827.40",1.81B,-2.48%
"Mar 05, 2020","11,269.00","11,306.05","11,389.50","11,244.60",1.35B,0.16%
"Mar 04, 2020","11,251.00","11,351.35","11,356.60","11,082.15",797.65M,-0.46%
"Mar 03, 2020","11,303.30","11,217.55","11,342.25","11,152.55",696.52M,1.53%
"Mar 02, 2020","11,132.75","11,387.35","11,433.00","11,036.25",680.80M,-0.62%
"Feb 28, 2020","11,201.75","11,382.00","11,384.80","11,175.05",809.90M,-3.71%
"Feb 27, 2020","11,633.30","11,661.25","11,663.85","11,536.70",608.61M,-0.39%
"Feb 26, 2020","11,678.50","11,738.55","11,783.25","11,639.60",567.63M,-1.01%
"Feb 25, 2020","11,797.90","11,877.50","11,883.05","11,779.90",461.00M,-0.27%
"Feb 24, 2020","11,829.40","12,012.55","12,012.55","11,813.40",490.80M,-2.08%
"Feb 20, 2020","12,080.85","12,119.00","12,152.00","12,071.45",502.61M,-0.37%
"Feb 19, 2020","12,125.90","12,090.60","12,134.70","12,042.10",513.57M,1.11%
"Feb 18, 2020","11,992.50","12,028.25","12,030.75","11,908.05",676.85M,-0.44%
"Feb 17, 2020","12,045.80","12,131.80","12,159.60","12,037.00",455.19M,-0.56%
"Feb 14, 2020","12,113.45","12,190.15","12,246.70","12,091.20",622.78M,-0.50%
"Feb 13, 2020","12,174.65","12,219.55","12,225.65","12,139.80",501.19M,-0.22%
"Feb 12, 2020","12,201.20","12,151.00","12,231.75","12,144.30",411.73M,0.77%
"Feb 11, 2020","12,107.90","12,108.40","12,172.30","12,099.00",479.98M,0.64%
"Feb 10, 2020","12,031.50","12,102.35","12,103.55","11,990.75",524.71M,-0.55%
"Feb 07, 2020","12,098.35","12,151.15","12,154.70","12,073.95",473.48M,-0.33%
"Feb 06, 2020","12,137.95","12,120.00","12,160.60","12,084.65",565.12M,0.40%
"Feb 05, 2020","12,089.15","12,005.85","12,098.15","11,953.35",758.03M,0.91%
"Feb 04, 2020","11,979.65","11,786.25","11,986.15","11,783.40",560.43M,2.32%
"Feb 03, 2020","11,707.90","11,627.45","11,749.85","11,614.50",669.82M,0.39%
"Feb 01, 2020","11,661.85","11,939.00","12,017.35","11,633.30",537.63M,-2.51%
"Jan 31, 2020","11,962.10","12,100.40","12,103.55","11,945.85",771.28M,-0.61%
"Jan 30, 2020","12,035.80","12,147.75","12,150.30","12,010.60",538.14M,-0.77%
"Jan 29, 2020","12,129.50","12,114.90","12,169.60","12,103.80",514.36M,0.61%
"Jan 28, 2020","12,055.80","12,148.10","12,163.55","12,024.50",478.48M,-0.52%
"Jan 27, 2020","12,119.00","12,197.10","12,216.60","12,107.00",441.16M,-1.06%
"Jan 24, 2020","12,248.25","12,174.55","12,272.15","12,149.65",593.24M,0.56%
"Jan 23, 2020","12,180.35","12,123.75","12,189.00","12,094.10",867.65M,0.61%
"Jan 22, 2020","12,106.90","12,218.35","12,225.05","12,087.90",526.30M,-0.52%
"Jan 21, 2020","12,169.85","12,195.30","12,230.05","12,162.30",443.98M,-0.45%
"Jan 20, 2020","12,224.55","12,430.50","12,430.50","12,216.90",491.61M,-1.03%
"Jan 17, 2020","12,352.35","12,328.40","12,385.45","12,321.40",502.06M,-0.03%
"Jan 16, 2020","12,355.50","12,347.10","12,389.05","12,315.80",395.67M,0.10%
"Jan 15, 2020","12,343.30","12,349.40","12,355.15","12,278.75",684.35M,-0.15%
"Jan 14, 2020","12,362.30","12,333.10","12,374.25","12,308.70",616.26M,0.27%
"Jan 13, 2020","12,329.55","12,296.70","12,337.75","12,285.80",500.97M,0.59%
"Jan 10, 2020","12,256.80","12,271.00","12,311.20","12,213.20",660.63M,0.33%
"Jan 09, 2020","12,215.90","12,153.15","12,224.05","12,132.55",477.47M,1.58%
"Jan 08, 2020","12,025.35","11,939.10","12,044.95","11,929.60",445.99M,-0.23%
"Jan 07, 2020","12,052.95","12,079.10","12,152.15","12,005.35",447.82M,0.50%
"Jan 06, 2020","11,993.05","12,170.60","12,179.10","11,974.20",396.50M,-1.91%
"Jan 03, 2020","12,226.65","12,261.10","12,265.60","12,191.35",428.77M,-0.45%
"Jan 02, 2020","12,282.20","12,198.55","12,289.90","12,195.25",407.70M,0.82%
"Jan 01, 2020","12,182.50","12,202.15","12,222.20","12,165.30",304.08M,0.12%
"Dec 31, 2019","12,168.45","12,247.10","12,247.10","12,151.80",426.93M,-0.71%
"Dec 30, 2019","12,255.85","12,274.90","12,286.45","12,213.80",411.09M,0.08%
"Dec 27, 2019","12,245.80","12,172.90","12,258.45","12,157.90",383.79M,0.98%
"Dec 26, 2019","12,126.55","12,211.85","12,221.55","12,118.85",520.33M,-0.72%
"Dec 24, 2019","12,214.55","12,269.25","12,283.70","12,202.10",470.29M,-0.39%
"Dec 23, 2019","12,262.75","12,235.45","12,287.15","12,213.25",604.78M,-0.07%
"Dec 20, 2019","12,271.80","12,266.45","12,293.90","12,252.75",810.68M,0.10%
"Dec 19, 2019","12,259.70","12,223.40","12,268.35","12,191.15",623.05M,0.31%
"Dec 18, 2019","12,221.65","12,197.00","12,237.70","12,163.45",518.86M,0.47%
"Dec 17, 2019","12,165.00","12,082.45","12,182.75","12,070.35",499.59M,0.92%
"Dec 16, 2019","12,053.95","12,131.35","12,134.65","12,046.30",437.70M,-0.27%
"Dec 13, 2019","12,086.70","12,026.40","12,098.85","12,023.60",597.71M,0.96%
"Dec 12, 2019","11,971.80","11,944.30","12,005.50","11,934.00",752.62M,0.52%
"Dec 11, 2019","11,910.15","11,867.35","11,923.20","11,832.30",997.66M,0.45%
"Dec 10, 2019","11,856.80","11,950.50","11,953.20","11,844.70",650.22M,-0.68%
"Dec 09, 2019","11,937.50","11,939.10","11,981.95","11,888.05",599.12M,0.13%
"Dec 06, 2019","11,921.50","12,047.35","12,057.05","11,888.85",609.22M,-0.81%
"Dec 05, 2019","12,018.40","12,071.25","12,081.20","11,998.75",562.23M,-0.21%
"Dec 04, 2019","12,043.20","11,969.95","12,054.70","11,935.30",747.19M,0.41%
"Dec 03, 2019","11,994.20","12,067.65","12,068.60","11,956.40",605.79M,-0.45%
"Dec 02, 2019","12,048.20","12,137.05","12,137.15","12,023.70",720.95M,-0.07%
"Nov 29, 2019","12,056.05","12,146.20","12,147.40","12,017.40",804.43M,-0.78%
"Nov 28, 2019","12,151.15","12,132.10","12,158.80","12,099.95",620.48M,0.42%
